text,label
문자수신지연 통화정상 수신내역 확인시 지연내역 없음 주기적 전원리셋 안내  초기화 안내하려했으나 괜찮다고 함 종료,단문메세지(SMS)
원클릭진단실패시설공급  상세증상   배우자 문의  기기변경 후 자택에서 데이터 이용시 속도 느리고 끊김  모드로 사용중이라고 함  타폰 동일  음성 모름  고층 특성 안내  다른 동일망 불량여부    품질 및 감도내부    품질 및 감도외부    상담원 조치 사항   추가연락처   특이전달사항고객성향기타  중계기 무,속도저하
진정성단말설정  삼성증권인증문자수신실패 메세지전송실패 확인시 정상수신확인안내드림 기기에 차단됨 확인 수신차단 메세지발송,기업형메시지(금융권인증SMS)
위치무관하게 통화문자 수신지연 문의 전파 특성 설명해드리고 재등록및  초기화후 전원 하여 비교사용 안내  이후 동일시 안내,단문메세지(SMS)
 연락처 종료관련 문의  연락처 옮기기할수있도록 링크 발송 종료,T제공 어플
엘레베이터만 탔다가 내리면 유심이 없다고 뜬다심  장기사용유심 교체권유 초기화  데이터초기화 초기화 이상시 재문의주신다고함  종료,초기접속불가
원클릭문의특이사항  상세증상  단말 배터리 소모가 너무 심하다고함 제조사 점검시 기기상에는 이상 없다 안내 받았으며 유심 교체 이후 동일 마지막 품질 확인 요청  통화 및 데이터 사용에는 이상 없음  중계기 설치 유무    타 사용자 통화품질 양호여부  본인만  품질 및 감도내부   불량  품질 및 감도외부  불량  상담사 조치 사항    추가연락처유키기재없음  특이전달사항고객성향기타   품질확인 부탁드립니다,발수신불가
달정도전부터 지역무관하게 데이터 끊김  한도설정 재설정  초기화  전원리셋 비교사용안내,데이터 사용중 끊김
위치 무관 통화가 잘 안됨 기기점검받았으나 동일 불일치 초기화 및 전원리셋 후 비교권유,발수신불가
위치무관  월전부터  증상 나옴  남친도 사용   통화시  장시간 미수신 문구 뜨면서 통화 끊김  초기화 전원 리셋 비교사용,호단절
  정문앞 횡단보고   아파트 정문앞 횡단보도쪽에  맨홀뚜껑이 덮혀져잇는데 손잡이가 잘못되어있어서 보행자가 다칠우려있으니 고쳐달라고함 한전으로 문의하니 직원이 와서 보고는 텔레콤으로 문의하라고했다함,통품상담성
 평이상지하주차장 시설공급  상세증상  발생시기 현장소에 오신후부터   양우내안에 아파트 공사현장 지하주차장내에서 통화수발신실패현상 외부정상 평이상되는 넓은공간 동짜리 라고함 중계기설치여부  미설치 내부개선문의  품질 및 감도내부불량  품질 및 감도외부양호  특이전달사항고객성향기타중   다른 동일망 불량 여부동일   품질확인 및 개선여부확인부탁드립니다,발수신불가
전화 자동녹음  관련,T제공 어플
 원클릭양호고객   년전 이사후 자택 방등에서 통화 데이터끊김  장비무외부개선 건의 안내종료,호단절
기변이후 지역무관하게 데이터 통화 끊김  우선모드로 변경했으나 전환되면서 안테나가 개만 뜬다고함  재설정 초기화 전원리셋 비교 사용안내,3G천이
 어제저녁부터 통화를하게되면 본인쪽에서는 소리가 들리나 상대방이 본인 목소리를 듣지못하는 문제가 있다고하심  전원 해도 동일하다고하심  위치무관증상   문산아파트내부 법원읍 이동해도 증상동일  제조사를 통한 점검양해    데이터경고 문의하시어 설정해제 후 사용안내,초기접속불가
진정성 단말설정   위치이동중  오늘갑자기 통화하는데 음질끊기고 데이터 다운이 늦게되어 다운도 멈춰있다함 위치무관이라하여 전파특성안내 설정방법 문자발송 불일치확인되어 고객동의하에 초기화진행및 전원재부팅권유,데이터 사용중 끊김
진정성  통화 발신 지연 수신 불량  통화중으로  활성화 후 사용 안내,3G천이
 원클릭양호  시설공급    상세증상   이사오셨을 때부터 안방에서는 잘 들리는데 거실 입구 베란다쪽에서 통화하면 목소리가 안들리고 호단절된다고 함 집밖에서는 통화 잘 된다고 함   타  사용자 동일 불량여부     품질 및 감도내부  불량  품질 및 감도외부  양호  특이전달사항고객성향기타     건수   건     양호확인시 장비명    장비건강도 진단결과  진단제외  중계기 여부  ,호단절
원클릭 문의 특이  상세증상  우선모드 사용중 원래 괜찮았는데 주전부터 댁 내부에서  데이터 속도가 느림 끊김  단말기 버전     설정여부 사용중  타 사용자 통화품질 양호여부  동일 불량  품질 및 감도내부  불량  품질 및 감도외부  양호 중계기 설치 여부    특이전달사항고객성향기타   주변 특이사항 및 개선여부 확인 부탁드립니다 현장 방문 가능한지 확인 부탁드립니다,속도저하
특정문자 수신실패로 받음 인계받은후  문자 수신되었다고함,단문메세지(SMS)
 카카오톡 이용 불가   다른 서비스는 모른다고 함   단말 설정 확인    다리 밑쪽에 있다고 하심   와이파이 오프 및 전원 재부팅 안내,카카오
최적화 고객평이상개선  상세증상  이사후 공장 전체 내외부에서 통화 불량   삼성에서 담당자가 나왓으나 지역 문제로 안내 받았다고하심   추가연락처    상호명    통화요청한 전화번호    품질 및 감도내부  불량  품질 및 감도외부     단말기 여부 및 상세내역   상담원 조치사항    요청대상  상담원제시   내방일자 및 시간협의가능시간준수  방문전 담당자 연락 안내 특이전달사항고객성향기타 ,발수신불가
중계기 구축철거요청 다음주 금요일에 건물 철거   희망일시시간준수협의가능  방문 전 연락드리고 일정 조율 안내   추가연락처   주소     상세증상적색불여부  생산동 벽면 철거 관련  장비 철거 요청      동  전원여부   품질 및 감도내부   품질 및 감도외부   특이전달사항고객성향기타    타 사용자 통화품질 양호여부    접수합니다,이설요청/철거요청
 귀국이후부터 모든  수신실패   유심교체해도 동일 기기점검 무   로 테스트시 수신실패   확인시 정상 다운로드 되지 않음  네트워크설정재설정 전산리셋전원재부팅 후 비교사용권유  지속 불량시  안내드리고 종료,MMS
몇주전부터 수신시 전화받기 버튼이 눌리지 않고 간헐적으로 수신실패가 나타남  외부 사용시 이상무  타 확인무 원클릭 양호   일치 리셋 후 비교요청  필요시 기기점검 방문한다고 하심,수신불가
오래전부터 음성 데이터 로 이용된다함 단말 확인시  설정 되어있음 확인  켬 변경 후 전원 재부팅 안내 재통 예정,3G천이
어제부터 데이터 끊김 증상 발생  장소 무관 증상 발생  고객만 증상  다른  정상     데이터   초기화 초기화  전원리셋 동일 증상시 제조사 점검 안내  종료,데이터 사용중 끊김
  원클릭 진단실패    시설공급   상세증상  기변후 데이터 느림  음성통화 양호  건물내 이용 어려움 양해 함   도 잘 안됐었다고 함   타폰 비교  불량  내부품질  불량  외부품질    상담원 조치 사항    추가 연락처  기타 전달사항,속도저하
대리점 직원 연락주심 위치무관하게 음질깨짐통화중기계음음질불량 유심카드 회 교체  기기점검   철회기간 지나 주사용지 품질 확인요청 유심카드 교체기기점검   주사용지쪽으로 고객으로 현장확인가능한지 확인부탁드립니다,음질불량
며칠전부터 전화수신실패 특정번호아님 장소무관증상  초기화 전원리셋,수신불가
원클릭  양호 시설공급  발생시기이사온후  상세증상자택에서 통화안터짐 음질끊김  단말기 버전   업그레이드안내  설정안내여부   사용중  타 사용자 통화품질 동일여부   품질 및 감도내부  불량  품질 및 감도외부  양호   사용여부    다른추가연락처여부  상담사 조치 사항  중계기 설치 여부 평  특이전달사항고객성향기타   해당주소지 품질 및 특이사항 여부확인부탁드립니다,호단절
진정성 단말설정  원클릭양호현기지국  상세증상  일전부터 데이터  접속시 속도가 느림음성통화 비교 못해봄외부 잘 모름중계기 장비 없음 진단시 양호로 확인되어 안내 함  초기화 방법  전송함   다른 동일망 불량여부    품질 및 감도내부  불량   품질 및 감도외부  잘모름   상담원 조치 사항   추가연락처   특이전달사항고객성향기타,속도저하
문자수신실패 확인시 다운로드 안됨 안내드림 켜기 셀룰러데이터켬확인 메세지전송해드리니 정상수신 네트웍설정재설정 안내드림 동일증상시 기기점검필요함 안내드림,MMS
 담당자 연락 와서 개선 불가로 해지 안내 받았다고 하심  중계기 시설 불가 안내 받았다고 함  담당자 확인 후 연락 드림으로 안내드리니 본인이 다시 담당자 확인 한다고 종료 하심,통품상담성
원클릭 양호  시설공급     상세증상     이사하고 기숙사 내부에서 전화 통화 할때 기계음처럼 소리가 들린다고 하심   평 정도 된다고 하심   장비 시설된건 없다고 하심   외부에서는 잘 된다고 하심   동일망 비교는 못했다고 하심     다른  동일 불량여부  비교못함  품질 및 감도내부  불량    품질 및 감도외부   양호  특이전달사항고객성향기타     건수   건      양호불량확인 ,발수신불가
 데이터 접속은 정상   다운로드 실패 됨   경로 문자 발송 함,초기접속불가
원클릭양호현기지국중복 원클릭 확인 장비명   장비품질 기지국 고장  양호 가입자품질 가입자별   양호  상세증상상세위치  인터불고 건설현장이라고 합니다 정상사용중 어제부터 지하에 장비가 있으나 통화권이탈  뜨면서 외부 양호 특이점 있는지 확인부탁드립니다    면적   지하  평   타 사용자 불량여부    다른 위치에서 불량여부     인터넷 사용여부    중계기홈펨토 사용여부    품질및감도내부 불량  품질및감도외부  양호   특이사항  고객성향일반,발수신불가
통화시 음질끊기고 데이터느림문의  위치무관에 본인폰만 증상있다하여 전파특성안내하니 수긍 유심교체권유하니 수긍 접점처리해주세요 통화종료건 월  일이전으로 교체시 전화드리지않고  교체금액은 월 청구서에서 예외적으로 감액받으시도록 접수해드리기로함,속도저하
인증문자 수신안되어 문의 단말 스팸차단으로 해제후 테스트시 정상,기업형메시지(금융권인증SMS)
원클릭양호시설공급  상세증상 단말기 변경 후 자택내에서 감도불안정  통화시 불편증상 다른 사용자 정상사용   다른 동일망 불량여부    품질 및 감도내부  불량  품질 및 감도외부     상담원 조치 사항    추가연락처  보안메모 기재   특이전달사항고객성향기타  해당 지역 이상 유무 및 동일 문의 여부 개선 방법 확인 부탁드립니다,발수신불가
사이버 통화품질 불만건    유선 문의로 접수되어 인계 받음  접수전문  인터넷속도 안녕하십니까 일전에도  속도문제로 상담한적이 있는데 아직 해결이 안되어 다시 문의 드립니다 집에서는 주로 와이파이를 사용하는데 지난달 공유기 문제로 와이파이를 사용할 수 없었습니다 공유기가 안되니 데이터로 사용해야 하는데 지속적으로 끊김이 발생하여 벤치비로 측정을 해봤습니다 첨부한 스샷을 보시면 아시겠지만 속도가 거의 나오지 않습니다 설치된 중계기도 무용지물인것 같습니다 이 아파트에 사는 주민이 중계기 설치를 강력 반대한다고 들었습니다 그렇다고 비싼 통신요금을 내면서 사용을 하지 못한다는건 말도 안됩니다 에서 어떠한 조치라도 취해 주셔야지 그냥 가만히 두고만 보십니까 너무 불편하므로 조속히 해결해 주시길 바라며 명확한 답변을 바랍니다 수고하십시요,데이터 사용중 끊김
중계기 요청   희망일시     추가연락처  없음   부재시  전달 부탁드립니다    장비 리셋 여부    타폰비교    불량망    내부 품질    외부 품질    기타 전달사항 증상 상세 기재 루키여부철회가능일자    근무지 장비 있으나 몇달전부터 통화끊김   점검요청함,호단절
 해외다녀온 이후부터 데이터 초기 접속 불가  잡히고  가 안잡힌다고 함  음성정상  프로파일 삭제 후 이용권유 드리고 종료,초기접속불가
중계기 철거요청코로나 양해드리나 접수해달라 하심확진자나 자가격리자 없음  상세증상  중계기 손바닥만한 장비 철거요청 희망일시간준수협의가능 연락처로 전화드려 날짜와 시간협의 부탁드립니다 연락처 연결안되면 연락처로 전화부탁드리며 마스크와 소독 철저히 하시고 내방 부탁드립니다,이설요청/철거요청
원클릭양호지상중계기신청  설치희망일시시간준수협의가능  담당자 일안으로 연락드려 스케줄조정 안내드림    추가연락처 기재  상호명장자택동  제반사항  전기료 천공 평 커버리지   층수평수      층    평  불량망    품질 및 감도 내부 불량  품질 및 감도 외부 양호  홈펨토안내여부    루키고객여부철회가능일자      가입여부    중복불만여부    고객성향  일반  설치경쟁사 확인   특이전달사항기타   이사한 자택에서 사용자 통화끊기고 잘안되어 문의  시설까지 주정도 소요될 수 있음 안내  내방전 고객님께 미리 연락 부탁드립니다  ,발수신불가
중계기 철거요청  희망일시    일 안으로 연락드려 시설방문 날짜 조율 예정안내   추가연락처  없음 부재시 문자발송  상호명    장비 리셋 여부    타폰비교    불량망    내부 품질    외부 품질    기타 전달사항  이사로인해 장비철거요청함 일 이사한다고함  루키여부철회가능일자 ,이설요청/철거요청
 가정용중계기 있는지 문의  있으나 해당 내용은 먼저 담당자가 방문해서 확인해보아야함안내 시간양해구함  비용드는거 있는지 여쭤보시어 전기료부과됨안내  종료,통품상담성
진정성 단말설정 장소무관 데이터 이용 불량  음성 정상  기기 설정 하려 했으나 조작 미숙으로 설정법 문자 발송 요청 발송 후 종료,초기접속불가
 고층     시설공급   상세증상   예전부터 자택 특히 안방에서 데이터가 느리고 이용이 안됨  통화 정상    타폰 비교  비교불가   내부품질  불량  외부품질  양호   상담원 조치 사항    추가 연락처수신불량 문의 경우 필수탐색    기타 전달사항 기지국에 이상 있는지 확인 요청,초기접속불가
아버지 부고문자를 통 보냈는데 상대방에게 다 안갔다며 문의 당시 신호 확인해드리려고 했으나 몇통이 갔는지 내역확인원하심 일반연결 종료,단문메세지(SMS)
 고객 휴대폰 원격으로 어플 설치해달라고하여 제조사 문의바람 안내  한번씩 어플 삭제하고 어플이 모드 삭제되었다고함 다시 다운받았는데 그때부터 속도느림  음성정상  위치무관  정상  단말기점검  ,기타 Application
원클릭양호특이사항  상세증상  자택에서 유독 데이터가 느리고 잘 끊김  지난주부터 그렇다고함   타폰 비교  동일  내부품질  불량  외부품질    상담원 조치 사항    추가 번호    특이전달사항고객성향기타   지역특이사항 및 개선사항 확인 부탁드립니다,속도저하
 사용을 위해 요금제 바꾸고 예전에 현장담당자가 폰모드 세팅을 로 바꾸었다함  폰내 네트워크 세팅경로 안내드리나  조작미숙 못하심 당시 현장에서 특번세팅으로 안내드렸다함 야간당직 양해 안되신다면 평일주간상담 반려,초기접속불가
원클릭진단실패특이사항    상세증상   주전부터 자택에서  새벽시 특정시간대 데이터끊김  통화 외부 비교못함    장비무       타폰 비교  비교못함   내부품질  불량  외부품질  비교못함    상담원 조치 사항    추가 연락처  기타 전달사항 특이사항 문의합니다 ,초기접속불가
 단말기변경하고나서부터 긴급재난문자수신실패  현재 통화망 으로 단말설정안내드림  긴급재난문자 망에서만 제공해드리고있음안내  비교사용권유후 재연락예정,3G천이
중계기철거요청   희망일시 월 일 이사라고하며 빠른 방문 요청하십니다  담당자 일내로 일정관련 연락예정 안내   추가연락처 없음 고객 통화부재시 담당자님 통화가능번호 문자 부탁드립니다  상호명     장비 리셋 여부     타폰불량 여부   불량망    내부 품질    외부 품질    특이전달사항고객성향기타   이사로 중계기 철거 요청 루키고객여부철회가능일자 ,이설요청/철거요청
데이터 느림  초기화 전원꺼다 켜기,속도저하
통화불량으로 문의 호단절 수신 불량 호전환중 끊어짐,호단절
카카오톡,기타 Application
번호 문자 수신실패   테스트 진행시 확인안된다심 기기상 차단안되어있다심 확인시 특이사항없음  불일치  일치 재부팅 재통화예정,단문메세지(SMS)
진정성 단말설정  데이터 느림  음성정상   개요 및 망 확대투자중에 있는 부분 설명드림  전파특성 안내 함     데이터    초기화     데이터    초기화  전원재부팅 안내   비교사용 권유 재연락드리기로함,속도저하
어제부터 통화 및 데이터가 위치 무관하게 잘 안됨 전원리셋 안내,데이터 사용중 끊김
며칠전부터 통화 수신실패  기록 뜨다 안뜨다 함  전원리셋 해도 동일  위치무관  방해금지 모드 설정되어 있어 해제권유 지속 불량시 기기점검 권유 종료,발수신불가
특정상대에게 문자발송시 발송실패 확인하니 채팅 개요설명 해제방법 문자발송후종료,단문메세지(SMS)
네이버쪽에서  일 오전 시분쯤 발송했다고하나 확인시 미확인  재요청후 회신번호및 시간대 확인 요청드림,단문메세지(SMS)
인증문자 수신불가 문의 다른 문자 정상 수신 펌웨어 업데이트 안내 및 초기화 동일시 전문부서 상담 양해드림,기업형메시지(금융권인증SMS)
중계기 요청  희망일시  담당자 방문전 연락드림 안내 미연결시 부탁드립니다  추가연락처  연락처기재  상호명    장비 리셋 여부     타폰비교  동일  불량망    내부 품질  불량  외부 품질  양호  기타 전달사항 증상 상세 기재  설치된 중계기 장비 철거요청 추가연락처로 연락 부탁드립니다,이설요청/철거요청
 전화 자동녹음 불량   구글 정책으로 양해 구함,T제공 어플
 본인이 발신한 단체문자가 수신자번호들이 수신을 못받는다고 하심,단문메세지(SMS)
   스피드중계기 신설요청   설치희망일시협의가능  추가연락처  유키기재  주소유키기재   제반사항  건물주동의 전기료 천공  층수평수  층  불량망    품질 및 감도 내부  불량  품질 및 감도 외부  정상  홈펨토안내여부    루키고객여부철회가능일자      가입여부   중복불만여부   고객성향  일반  설치경쟁사 확인    특이전달사항기타  이사한뒤 음질끊김 데이터 속도느림,호단절
기기변경 후부터 데이터 끊김있다고 함통화는 정상유심이 없다고 뜨면서 확인하라는 문구가 뜨는 경우도 있다고함전원을 껐다가 켜니까 없어졌다고하심모드 이용중이라고하심홈화면이 가로모드로 고정되는 현상도 있다고함 업그레이드 안내드리던 중 전화 끊어져 시 전원 ,데이터 사용중 끊김
기어모드 사용시 기어 발신 실패라함  연결불가 문구 나온다함 위치무관 동일증상 반복시 단말 점검 및 유심확인 필요할 수 있음 안내,발신불가
 일전부터 위치무관 통화실패 증상 발생  데이터 느림증상 발생되며 감도 저하도 있었닥 하심  점검 전  서비스 특이사항 없음 안내  신호초기화 재부팅 후 비교사용 권유  유심 불량시 발생될 수 있는지 문의하시어 유심 장기간 사용시 성능저하 증상 발생될 수 있음 안내    회 확인됨  년 구입유심으로 유심 교체도 해보겠다고 하심  초기화 리싱크 데이터삭제,속도저하
 개통이후 위치무관 통화사용시 끊어짐 센터내방 점검받았으나 이상없음  특정장소 이상아니라면 신호상 문제로 보기 어려우나 주사용지 신호이상 점검 권유 방문 거부하시어 초기화 재설정안내 전원재부팅 비교사용안내 종료,호단절
원클릭양호현장방문  상세증상  기기변경이후 데이터 속도 불량 문의  우선모드로 사용 중이나 데이터 속도 심하게 느리다함 타폰 비교못함 유심교체 했으나 동일 최신 소프트 웨어 업데이트 안내 완료 평균속도  정도 밖에 안나온다 주장  장소무관 불량함 언급  주생활지 사무실로 방문하여 품질확인요청하시어 현장방문으로 접수합니다   상호명  김사무실가산동   추가연락처 미연결시 문자 부탁드립니다  내부품질  불량  외부품질  불량   단말기 여부 및 상세내역  기기점검 했으나 이상없음 통신사로 확인 필요함 안내받음  내방일자 및 시간시간준수협의가능  일 시   기타 전달사항  루키여부철회가능일자    코로나양해 구했으나 방문 요청함  특이점 없음 확인되어 안내드렸으나 추가 확인요청하시어 접수합니다 방문전 연락 바랍니다,속도저하
지난달부터 음성 양호하나 사무실에서  데이터 접속 불량외부도 불량 음성도 잘 안될때 있는것같다하심   데이터 허용 재설정초기화전원재부팅 재통 예정,초기접속불가
전남구례 어제부터   농협 은행 문자수신 실패  오후시 넘어서   시넘어서 카드사용문자수신실패  메시지 어플 클릭하니 그제서야 문자통보됨  증상또 나오면 기기점검받으시길안내후종료,기업형메시지(금융권인증SMS)
 진정성 단말설정   전화수신시 차 수신거절되고  차 수신된다고함  방해금지 모드 활성화여부 확인후 꺼서 이용안내  기기 갖고있지않음,수신불가
 설치 담당자 연락 및 내방 없음   언제쯤 가능한지 지연되어 문의   구축사 확인후 시 분안으로 연락 약속,통품상담성
직장에서 상대방이 고객 목소리가 들렸다가 안들렸다가 한다고함   다른곳에서는 양호    연결상태  설정 이후 비교안내드림  ,3G천이
 장비 재인입  지상중계기신청  설치희망일시    추가연락처      제반사항  건물주동의 전기료 천공 안내   층수평수     층    평평 개선 수긍  불량망  내부품질   불량    외부품질   양호  루키여부철회가능일자      기타 전달사항   코로나로 주정도 소요 됨 안내드림   한달 넘게 전부터 자택 내 방에서 수신이 잘 안되고 통화중 끊김 증상 안테나 감도 한두칸밖에 안뜸  월  현방 후 쿼터제로 신청 불가하다며 고객센터로 한달 뒤 문의해서 접수하라고 했다심 이력 확인 후 접수합니다,호단절
오늘 갑자기 데이터 접속 지연 통화정상     변경 후 비교안내드렸으나 고연령 설정미숙 설정경로 문자발송 고객 확인해보시겠다함,속도저하
수신은 되었으나 다운이 안된다고 함 및 초기화전원재부팅안내,MMS
함 본인 인증문자 수신실패   테스트시 수신 정상   확인시 금일 해당 번호로 수신 로그 없음  현시점 인증 시도 테스트는 어렵다하심  발신측 번호발신 날짜 시간 확인 후 재문의 권유  원만 종료,기업형메시지(금융권인증SMS)
코로나양해 승강기 있는 계단쪽 복도에서 음질 끊어지고 불량으로 문의 개선 건의 안내드리고 코로나 양해,음질불량
  구축연락없다고함,통품상담성
 며칠전부터 와이파이가 안되는곳에서는 데이터초기접속불가  와이파이   셀룰러데이터 상태  안내드림  종료,초기접속불가
 데이터 이용 불량하다함  와이파이 오프  데이터 허용 확인  재설정하여 재부팅하여 비교권유 소프트웨어 업데이트 미진행으로 업데이트 하여 비교권유 종료,초기접속불가
 특정번호  간헐적  문자 미수신   시 정상 수신됨  업체에서 로 번호 해제 안내받으심  스팸필터링 부가서비스  허용번호 등록 사용권유 종료,단문메세지(SMS)
통화 품질 불량  지역통품 연결 거부   요금제 문의  호전환,발수신불가
전화 녹음 파일 확인방법  안내,T제공 어플
루키원클릭문의특이사항  상세증상  기기 변경 후 위치상관없이 통화중 음질 끊어짐 데이터 사용중 끊어지진다고 함   다른 동일망 불량여부   품질 및 감도내부  불량  품질 및 감도외부    상담원 조치 사항    추가연락처  특이전달사항고객성향기타 ,초기접속불가
 어제 갑자기 통화중  상대방이 목소리 안들린다 함   외부확인 불가 타폰확인불가   불일치 확인되어 초기화 후 재부팅   비교사용 권유 드리고 종료,음질불량
통화중대기 가입했는데 확인안됨 테스트시 안들린다하여 단말내 볼륨조절안내 다시 테스트시 정상으로 들린다하여 종료함,통화중대기
하기건 동일문의 초기화 후에도 증상개선 없음  초기화 및 전원리셋 후 비교사용 안내 해당 음악어플만 끊긴다고 하셔서 지속 문제발생시 해당 어플 고객센터로 문의 양해,기타 Application
 인증번호 수신 실패   분부터 시도 했음   확인시 정상 발송 확인 됨   으로 문자 받는다고 하여 본 상담사 테스트진행 했으나 정상 수신 됨   으로도 테스트 문자 발송 정상 발송 확인 됨,기업형메시지(금융권인증SMS)
 기상담 재인입 담당자 확인후 재전양해,통품상담성
원클릭진단실패광분산  상세증상  년 전부터자택 내통화품질 불량 광분산 국소 확인됨   타폰 비교    내부품질   불량  외부품질   정상   상담원 조치 사항   고층전파혼재 가능성안내   추가 연락처  기타 전달사항 광분산국소로 확인됨,발수신불가
기변후 동일장소 타폰은 잡히나 명의자만 가 잡힌다고함  음성통화는 아직 양호한거 같다함   설정확인시 우선모드로 확인되어 우선모드로 변경안내후 종료,초기접속불가
위치상이하여 문의 앱내에서 의견보내기 접수방법 안내,기타 Application
오늘 갑자기 특정번호 문자 수신실패  조회 정상 기기상 스팸설정 해제 정상확인 후 종료,단문메세지(SMS)
전남 목포 롯데카드 사용내역문자 수신실패  업체 정상발송됨 발송처 번호모르며 카드 발급하고 처음부터 문자수신실패라고함  설정 메시지차단확인시 롯데카드 관련된번호있다고하여 해제 안내드림 해제 후 문자수신실패시 업체에 번호확인필요안내,기업형메시지(금융권인증SMS)
 분쯤전에 미납요금 납부했으나 아직 정지됐다고 멘트나온다며 확인요청  정지해제상태 확인 됨 전원리셋 안내,통품상담성
원클릭양호   회사 숙소 근처에서 데이터 품질 불량  숙소뿐아니라 외부에서도 현상 있다고 함  지역부서 내용 전달 후 개선 건의 올리겠다고 양해,발수신불가
현장방문  상세증상   금호건설 금호어울림아파트 공사현장 지하 사무실 사무실에서 전화가 안터짐내부불량  개선요청  확인부탁드립니다   상호명  최사무실고덕면   추가연락처   품질 내부  불량   품질 외부   단말기 여부 및 상세내역    상담원 조치사항   요청대상상담원제시고객요구    내방일자 및 시간  월 일 목요일 시 분 시  특이전달사항고객성향기타 루키고객여부철회가능일자 ,발수신불가
오늘갑자기 으로 전화걸면 없는번호로 나오신다함 전원재부팅 후 재 사용안내,발수신불가
진정성 단말설정 오래전부터 장소무관 데이터 속도가 불량하다고 함기기점검 받아본적은 없음통화는 정상 초기화 후 재부팅안내 지속 불량시 기기점검 또는 유심교체 권유,속도저하
데이터 접속  불량 음성정상 위치무관  전파 특성 설명드림     모바일데이터 설정확인   초기화하고 온오프 안내 불일치정상 인증수행  시간두고 사용해보시면 해피콜 드린다고 했으나 계속 그런건 아니라서 써보고 필요하면 전화 하겠따고 하심  이후에 동일 현상 지속 있을 경우엔 기기점검  유심교체 필요 안내드리니 수긍 하심 종료,초기접속불가
사용지역 광주  특정번호 발신실패    테스트안내,발신불가
주간 위치무관 고객은 잘 들리나 상대방이 끊겨들림 기기 또는 유심 확인  유심교체권유 조정 안내 오늘 교체하신다고 함  요금조정 위해 태스크만 유지중,발수신불가
오래전부터 위치무관 통화 시 상대방 측에서 끊긴다함 위치무관 증상으로 모든 자사 기지국 망 문제는 아니므로 기기점검 권유 종료,발수신불가
아래내용추가 스피커폰이어폰통화시에도 불량 단말점검안내,발수신불가
최근들어  주전부터 불량 감도 칸 통화도 소리가 잘안들림 데이터 접속불가  위치무관 건물 내외부 모두 불량 기기점검무  초기화 단말설정후 비교사용 안내 문자 발송  이후 동일하게 위치무관시 기기점검필요함안내 종료함,초기접속불가
 원클릭양호  시설공급    상세증상  저번달에 이사오셨을 때부터 자택내에서 통화하면 상대방에서 고객님 목소리가 끊겨 들린다고 함 베란다나 밖에서는 통화 잘 된다고 함   타  사용자 동일 불량여부   배우자폰  품질 및 감도내부  불량  품질 및 감도외부  양호  특이전달사항고객성향기타     건수   건     양호확인시 장비명    장비건강도 진단결과  진단제외  중계기 여부  ,발수신불가
신한카드 문자 미수신  수신내역 정상 수신 확인됨  수신차단 해제 안내  정상수신 확인 종료,기업형메시지(금융권인증SMS)
요금제변경하고나서부터 영상통화 이용불가 전산 로 천이되어있어 모드확인시 우선모드로 되어있음 초기화 및 전원온오프 안내,3G천이
